tweet_id,month,text,rating_numerator,rating_denominator,name,stage,favorite_count,retweet_count,retweeted_status,img_num,p1,p1_conf,p1_dog
892420643555336193,8,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13,13,10,Phineas,,33833,7012,,1,Orange,0.0970486,False
892177421306343426,8,This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not,13,10,Tilly,,29347,5302,,1,Chihuahua,0.323581,True
891815181378084864,7,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12,12,10,Archie,,22069,3483,,1,Chihuahua,0.716012,True
891689557279858688,7,This is Darla. She commenced a snooze mid meal. 13,13,10,Darla,,36959,7229,,1,Paper_Towel,0.1702779999999999,False
891327558926688256,7,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12",12,10,Franklin,,35332,7768,,2,Basset,0.555712,True
891087950875897856,7,Here we have a majestic great white breaching off South Africa's coast. Absolutely h,13,10,,,17820,2602,,1,Chesapeake_Bay_Retriever,0.425595,True
890971913173991426,7,Meet Jax. He enjoys ice cream so much he gets nervous around it. 13,13,10,Jax,,10372,1667,,1,Appenzeller,0.341703,True
890729181411237888,7,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13,13,10,,,56898,15766,,2,Pomeranian,0.566142,True
890609185150312448,7,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13,13,10,Zoey,,24540,3625,,1,Irish_Terrier,0.4875739999999999,True
890240255349198849,7,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14,14,10,Cassie,doggo,27980,6103,,1,Pembroke,0.511319,True
890006608113172480,7,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13,13,10,Koda,,27056,6154,,1,Samoyed,0.957979,True
889880896479866881,7,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13,13,10,Bruno,,24581,4168,,1,French_Bulldog,0.377417,True
889665388333682689,7,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13,13,10,,puppo,42079,8353,,1,Pembroke,0.966327,True
889638837579907072,7,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12,12,10,Ted,,23695,3719,,1,French_Bulldog,0.99165,True
889531135344209921,7,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13,13,10,Stuart,puppo,13358,1884,,1,Golden_Retriever,0.953442,True
889278841981685760,7,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13,13,10,Oliver,,22136,4448,,1,Whippet,0.626152,True
888917238123831296,7,This is Jim. He found a fren. Taught him how to sit like the good boys. 12,12,10,Jim,,25654,3766,,1,Golden_Retriever,0.714719,True
888804989199671297,7,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13,13,10,Zeke,,22487,3539,,1,Golden_Retriever,0.46976,True
888554962724278272,7,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13,13,10,Ralphus,,17327,2879,,3,Siberian_Husky,0.700377,True
888078434458587136,7,This is Gerald. He was just told he didn't get the job he interviewed for. A h,12,10,Gerald,,19161,2897,,1,French_Bulldog,0.995026,True
887705289381826560,7,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13,13,10,Jeffrey,,26642,4538,,1,Basset,0.821664,True
887517139158093824,7,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14,14,10,,,40750,9857,,1,Limousine,0.130432,False
887473957103951883,7,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13,13,10,Canela,,60225,15036,,2,Pembroke,0.809197,True
887343217045368832,7,You may not have known you needed to see this today. 13,13,10,,,29609,8815,,1,Mexican_Hairless,0.330741,True
887101392804085760,7,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12,12,10,,,26996,4994,,1,Samoyed,0.733942,True
886983233522544640,7,This is Maya. She's very shy. Rarely leaves her cup. 13,13,10,Maya,,30404,6322,,2,Chihuahua,0.793469,True
886736880519319552,7,This is Mingus. He's a wonderful father to his smol pup. Confirmed 13,13,10,Mingus,,10504,2633,,1,Kuvasz,0.309706,True
886680336477933568,7,This is Derek. He's late for a dog meeting. 13,13,10,Derek,,19750,3738,,1,Convertible,0.738995,False
886366144734445568,7,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12,12,10,Roscoe,pupper,18557,2631,,1,French_Bulldog,0.999201,True
886258384151887873,7,This is Waffles. His doggles are pupside down. Unsure how to fix. 13,13,10,Waffles,,24543,5293,,1,Pug,0.943575,True
885984800019947520,7,Viewer discretion advised. This is Jimbo. He will rip ur finger right h,12,10,Jimbo,,28625,5618,,1,Blenheim_Spaniel,0.972494,True
885528943205470208,7,This is Maisey. She fell asleep mid,13,10,Maisey,,31617,5332,,1,Pug,0.369275,True
885311592912609280,7,RT @dog_rates: This is Lilly. She just parallel barked. Kindly requests a reward now. 13,13,10,Lilly,,0,15448,retweet,1,Labrador_Retriever,0.908703,True
885167619883638784,7,Here we have a corgi undercover as a malamute. Pawbably doing important investigative work. Zero control over tongue happenings. 13,13,10,,,19271,3671,,4,Malamute,0.8124819999999999,True
884925521741709313,7,This is Earl. He found a hat. Nervous about what you think of it. 12,12,10,Earl,,67324,15035,,1,Italian_Greyhound,0.259916,True
884876753390489601,7,This is Lola. It's her first time outside. Must test the earth and taste the atmosphere. 13,13,10,Lola,,24399,4675,,1,Chow,0.822103,True
884562892145688576,7,This is Kevin. He's just so happy. 13,13,10,Kevin,,21339,3913,,1,Pug,0.5464060000000001,True
884441805382717440,7,I present to you,14,10,,,23875,4793,,1,Pembroke,0.993225,True
884162670584377345,7,Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12,12,10,Yogi,doggo,17952,2506,,1,German_Shepherd,0.707046,True
883838122936631299,7,This is Noah. He can't believe someone made this mess. Got the vacuum out for you though. Offered to help clean pup. 12,12,10,Noah,,19189,2865,,1,Doberman,0.610946,True
883482846933004288,7,This is Bella. She hopes her smile made you smile. If not,5,10,Bella,,40230,8276,,1,Golden_Retriever,0.943082,True
883360690899218434,7,Meet Grizzwald. He may be the floofiest floofer I ever did see. Lost eyes saving a schoolbus from a volcano erpuption. 13,13,10,Grizzwald,floofer,19961,3084,,1,Chow,0.987997,True
883117836046086144,7,Please only send dogs. We don't rate mechanics,13,10,,,32529,5540,,2,Golden_Retriever,0.949562,True
882992080364220416,7,This is Rusty. He wasn't ready for the first pic. Clearly puppared for the second. 13,13,10,Rusty,,20997,3248,,1,Eskimo_Dog,0.4667779999999999,True
882762694511734784,7,This is Gus. He's quite the cheeky pupper. Already perfected the disinterested wink. 12,12,10,Gus,pupper,24814,4099,,1,Labrador_Retriever,0.85005,True
882627270321602560,7,This is Stanley. He has his first swim lesson today. Doggle straps adjusted. Ready to go. 13,13,10,Stanley,,24614,5067,,1,Pembroke,0.542982,True
882268110199369728,7,This is Alfy. You're witnessing his first watermelon experience. I think it was a success. 13,13,10,Alfy,,39222,9639,,1,Golden_Retriever,0.762211,True
882045870035918850,7,This is Koko. Her owner,13,10,Koko,,25746,4084,,1,Web_Site,0.949591,False
881906580714921986,7,This is Rey. He's a Benebop Cumberfloof. 12,12,10,Rey,,21454,2856,,1,Weimaraner,0.291539,True
881666595344535552,7,This is Gary. He couldn't miss this puppertunity for a selfie. Flawless focusing skills. 13,13,10,Gary,,44581,8965,,1,Saluki,0.529012,True
881536004380872706,7,Here is a pupper approaching maximum borkdrive. Zooming at never before seen speeds. 14,14,10,,pupper,43476,13406,,1,Samoyed,0.281463,True
881268444196462592,7,Meet Elliot. He's a Canadian Forrest Pup. Unusual number of antlers for a dog. Sneaky tongue slip to celebrate ,12,10,Elliot,,20497,4495,,1,Tusker,0.473303,False
880935762899988482,6,This is Louis. He's crossing. It's a big deal. 13,13,10,Louis,,15062,2333,,1,Street_Sign,0.251801,False
880872448815771648,6,Ugh not again. We only rate dogs. Please don't send in well,12,10,,,18722,3200,,1,Pembroke,0.791416,True
880465832366813184,6,This is Bella. She had her first beach experience this morning. Complete success. 12,12,10,Bella,,25039,5217,,1,Golden_Retriever,0.913255,True
880221127280381952,6,Meet Jesse. He's a Fetty Woof. His tongue ejects without warning. A true bleptomaniac. 12,12,10,Jesse,,23683,3468,,1,Chihuahua,0.238525,True
